freq,mean,p50,p90,p99,p100
408MHz,25480623.35,0,50466668,53212173,53861507
600MHz,36094585.80,36026277,36547525,36547525,37753590
816MHz,30183311.90,29836079,31267229,31267229,32166141
1GHz,25520504.10,25709075,25829937,25829937,27714764
1.20GHz,21735079.10,23095135,24180247,24180247,24292569
1.42GHz,17918710.60,18504955,19111498,19111498,20350365
1.61GHz,15616846.70,15326164,18732189,18732189,19288465
1.80GHz,16984274.30,18036032,18729235,18729235,19266310
2.02GHz,15986103.70,16598869,17183495,17183495,17611097
2.21GHz,16223561.20,16525922,16552802,16552802,16577869
2.30GHz,14625510.90,15119692,16507351,16507351,16518355
