period_start(clock_cycles),period_end(clock_cycles),job_end(clock_cycles),job_deadline(clock_cycles),job_elapsed(clock_cycles),period_start(seconds),period_end(seconds),job_end(seconds),job_deadline(seconds),job_elapsed(seconds),deadline_status(1=met),job_utilization,job_density
2357157503736,2357181503530,2357157548263,2357181503530,44527,98193.332557309,98194.332526224,98193.334406735,98194.332526224,0.001849426,1,0.00185,0.00185
2357181503530,2357205503954,2357181548330,2357205503954,44800,98194.332526224,98195.332526638,98194.334392275,98195.332526638,0.001866051,1,0.00187,0.00187
2357205503954,2357229504322,2357205548194,2357229504322,44240,98195.332526638,98196.332524719,98195.334369065,98196.332524719,0.001842427,1,0.00184,0.00184
2357229504322,2357253504725,2357229548513,2357253504725,44191,98196.332524719,98197.332524258,98196.334365396,98197.332524258,0.001840677,1,0.00184,0.00184
2357253504725,2357277505191,2357253548902,2357277505191,44177,98197.332524258,98198.332526422,98197.334364060,98198.332526422,0.001839802,1,0.00184,0.00184
2357277505191,2357301505496,2357277549389,2357301505496,44198,98198.332526422,98199.332521878,98198.334367390,98199.332521878,0.001840968,1,0.00184,0.00184
2357301505496,2357325505941,2357301549568,2357325505941,44072,98199.332521878,98200.332523166,98199.334357304,98200.332523166,0.001835426,1,0.00184,0.00184
2357325505941,2357349506302,2357325550545,2357349506302,44604,98200.332523166,98201.332520955,98200.334380759,98201.332520955,0.001857593,1,0.00186,0.00186
2357349506302,2357373506754,2357349550577,2357373506754,44275,98201.332520955,98202.332522535,98201.334365131,98202.332522535,0.001844176,1,0.00184,0.00184
2357373506754,2357397507143,2357373550826,2357397507143,44072,98202.332522535,98203.332521490,98202.334358253,98203.332521490,0.001835718,1,0.00184,0.00184
